Types,Items,ingredient name,quantity,measure,food,weight,food category,image
Washing up free salad,0,"1 can sardines, preferably in olive oil",1.0,can,olive,252.00000000426004,canned fruit,https://www.edamam.com/food-img/822/8221f2141e8dafd469414b20777735ca.jpg
Washing up free salad,1,1 bag washed salad leaves,1.0,<unit>,salad leaves,313.0,vegetables,https://www.edamam.com/food-img/79e/79e8dd0ee229cbc32171ec362ce93a37.jpg
Washing up free salad,2,1 lemon,1.0,<unit>,lemon,58.0,fruit,https://www.edamam.com/food-img/70a/70acba3d4c734d7c70ef4efeed85dc8f.jpg
Washing up free salad,3,"Small handful pinenuts, optional",1.0,handful,pinenuts,12.65625,plant-based protein,https://www.edamam.com/food-img/52f/52fa29cb9d1ab6502f137a98c8a63f09.jpg
Quinoa Salad,0,1 cup quinoa,1.0,cup,quinoa,170.0,grains,https://www.edamam.com/food-img/b62/b622239a214b3bd9f63c8e93e6e9cde6.jpg
Quinoa Salad,1,2 cups chicken or vegetable stock,2.0,cup,chicken or vegetable stock,480.0,canned soup,https://www.edamam.com/food-img/26a/26a10c4cb4e07bab54d8a687ef5ac7d8.jpg
Quinoa Salad,2,"1 hothouse cucumber, diced",1.0,<unit>,cucumber,301.0,vegetables,https://www.edamam.com/food-img/501/5015da0e5fc2b384696b3d949aefef86.jpg
Quinoa Salad,3,2 scallions,2.0,<unit>,scallions,30.0,vegetables,https://www.edamam.com/food-img/b89/b89986ed6aa466285bdd99bac34b3c46.jpg
Quinoa Salad,4,"1/2 cup roasted red pepper, diced",0.5,cup,roasted red pepper,67.5,vegetables,https://www.edamam.com/food-img/7f8/7f874d848dbb46bf1dfa5418564a736c.jpeg
Quinoa Salad,5,"1/4 cup flat leaf parsley, finely chopped",0.25,cup,parsley,15.0,vegetables,https://www.edamam.com/food-img/46a/46a132e96626d7989b4d6ed8c91f4da0.jpg
Quinoa Salad,6,1 tablespoon fines herbs (recommended: Spice Island),1.0,tablespoon,herbs,2.7,Condiments and sauces,https://www.edamam.com/food-img/89b/89b37a04e46e052671d73addcb84aa51.jpg
Quinoa Salad,7,1/4 cup crumbled feta cheese,0.25,cup,feta cheese,37.5,Cheese,https://www.edamam.com/food-img/37e/37ef3e404b1c02bf4707cb82010732b8.jpg
Quinoa Salad,8,3 tablespoons slivered almonds,3.0,tablespoon,almonds,26.812499999546674,plant-based protein,https://www.edamam.com/food-img/6c2/6c2dc21adf11afc4c8d390ee2f651e56.jpg
Quinoa Salad,9,9 cups spring salad mix,9.0,cup,salad mix,324.0,vegetables,https://www.edamam.com/food-img/b6d/b6d9f3052d27a3c71220cfa55c6f0a42.jpg
Quinoa Salad,10,1/4 cup light roasted garlic and balsamic salad dressing,0.25,cup,salad dressing,62.5,Condiments and sauces,https://www.edamam.com/food-img/241/24178db68d42001caf980f8f209534cb.jpg
